"filename", "language", "solidity", "comment", "blank", "total"
"/home/gas_limit/leveraged-mm/src/CentralRegistry.sol", "solidity", 24, 19, 12, 55
"/home/gas_limit/leveraged-mm/src/Factory.sol", "solidity", 28, 17, 14, 59
"/home/gas_limit/leveraged-mm/src/LeveragedNFT.sol", "solidity", 20, 14, 10, 44
"/home/gas_limit/leveraged-mm/src/Master.sol", "solidity", 95, 40, 35, 170
"/home/gas_limit/leveraged-mm/src/Proxy.sol", "solidity", 28, 14, 12, 54
"/home/gas_limit/leveraged-mm/src/implementations/Long_Base_Odos_Zerolend.sol", "solidity", 243, 30, 117, 390
"/home/gas_limit/leveraged-mm/src/implementations/Long_Quote_Odos_Zerolend.sol", "solidity", 251, 95, 103, 449
"/home/gas_limit/leveraged-mm/src/implementations/Shared_Storage.sol", "solidity", 8, 9, 6, 23
"/home/gas_limit/leveraged-mm/src/implementations/Short_Base_Odos_Zerolend.sol", "solidity", 5, 2, 1, 8
"/home/gas_limit/leveraged-mm/src/implementations/Short_Quote_Odos_Zerolend.sol", "solidity", 5, 2, 1, 8
"/home/gas_limit/leveraged-mm/src/interfaces/ICentralRegistry.sol", "solidity", 20, 1, 9, 30
"/home/gas_limit/leveraged-mm/src/interfaces/IERC721A.sol", "solidity", 58, 205, 44, 307
"/home/gas_limit/leveraged-mm/src/interfaces/IERC721Receiver.sol", "solidity", 9, 17, 2, 28
"/home/gas_limit/leveraged-mm/src/interfaces/IFactory.sol", "solidity", 4, 1, 1, 6
"/home/gas_limit/leveraged-mm/src/interfaces/ILeverageNFT.sol", "solidity", 5, 1, 4, 10
"/home/gas_limit/leveraged-mm/src/interfaces/IMaster.sol", "solidity", 25, 1, 9, 35
"/home/gas_limit/leveraged-mm/src/interfaces/IProxy.sol", "solidity", 20, 1, 6, 27
"/home/gas_limit/leveraged-mm/src/interfaces/external/odos/IOdosRouterV2.sol", "solidity", 36, 1, 6, 43
"/home/gas_limit/leveraged-mm/src/interfaces/external/zerolend/DataTypes.sol", "solidity", 200, 43, 22, 265
"/home/gas_limit/leveraged-mm/src/interfaces/external/zerolend/IFlashLoanSimpleReceiver.sol", "solidity", 14, 18, 4, 36
"/home/gas_limit/leveraged-mm/src/interfaces/external/zerolend/IPool.sol", "solidity", 214, 462, 61, 737
"/home/gas_limit/leveraged-mm/src/interfaces/external/zerolend/IPoolAddressProvider.sol", "solidity", 42, 155, 30, 227
"/home/gas_limit/leveraged-mm/src/libraries/ERC721A/ERC721A.sol", "solidity", 539, 618, 157, 1314
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/interfaces/IERC1363.sol", "solidity", 11, 66, 9, 86
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/interfaces/IERC165.sol", "solidity", 2, 2, 2, 6
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/interfaces/IERC20.sol", "solidity", 12, 59, 10, 81
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/proxy/Proxy.sol", "solidity", 24, 37, 8, 69
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/token/SafeERC20.sol", "solidity", 89, 80, 16, 185
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/utils/Address.sol", "solidity", 63, 76, 12, 151
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/utils/Errors.sol", "solidity", 6, 16, 4, 26
"/home/gas_limit/leveraged-mm/src/libraries/openzeppelin/utils/introspection/IERC165.sol", "solidity", 4, 19, 2, 25
"Total", "-", 2104, 2121, 729, 4954
